"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"62911","Bihar","Development of public parks","WS/MP18037/2025-2026/191014","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","31-Oct-2025","BIDHANSABHA KESHETRA NAVINAGAR SAHAYAK ABHIYANTA","Payment Success","692741"
"62912","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2025-2026/191573","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","24-Sep-2025","BIDHANSABHA KESHETRA NAVINAGAR SAHAYAK ABHIYANTA","Payment Success","594058"
"62913","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2025-2026/191566","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","15-Oct-2025","BIDHANSABHA KESHETRA NAVINAGAR SAHAYAK ABHIYANTA","Payment Success","588893"
"62914","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2025-2026/191568","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","15-Oct-2025","BIDHANSABHA KESHETRA NAVINAGAR SAHAYAK ABHIYANTA","Payment Success","390311"
"62915","Jammu And Kashmir","Lighting of public spaces","WS/MP331/2026-2027/233649","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Jugal Kishore Sharma","JAMMU","11-Jul-2026","SVS Enterprises","Payment Success","149900"
"62916","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2024-2025/163199","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","18-Jun-2025","SRI J VENKATA GIRI DHARA RAO","Payment Success","569911"
"62917","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2024-2025/163200","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","18-Jun-2025","SRI J VENKATA GIRI DHARA RAO","Payment Success","487921"
"62918","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2024-2025/163201","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","14-Nov-2025","SRI J VENKATA GIRI DHARA RAO","Payment Success","412744"
"62919","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2024-2025/163202","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","14-Nov-2025","SRI J VENKATA GIRI DHARA RAO","Payment Success","333756"
"62920","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2024-2025/163209","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","14-Nov-2025","SRI J VENKATA GIRI DHARA RAO","Payment Success","540203"
"62921","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2024-2025/163211","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","02-Dec-2025","SRI J VENKATA GIRI DHARA RAO","Payment Success","273297"
"62922","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2024-2025/163196","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","31-May-2025","SRI J VENKATA GIRI DHARA RAO","Payment Success","350000"
"62923","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2024-2025/163197","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","31-May-2025","SRI J VENKATA GIRI DHARA RAO","Payment Success","412451"
"62924","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2024-2025/163204","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","14-Nov-2025","SRI J VENKATA GIRI DHARA RAO","Payment Success","282194"
"62925","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP522/2024-2025/163207","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","02-Dec-2025","SRI J VENKATA GIRI DHARA RAO","Payment Success","471877"
"62926","Bihar","Construction of community centers and community halls","WS/MP18031/2025-2026/215501","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","01-Dec-2025","SAHAYAK ABHIYANTA RAFIGANJ BIDHANSHABHA KSHETRA","Payment Success","461052"
"62927","Bihar","Construction of community centers and community halls","WS/MP18031/2025-2026/215501","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","26-Feb-2026","SAHAYAK ABHIYANTA RAFIGANJ BIDHANSHABHA KSHETRA","Payment Success","532187"
"62928","Bihar","Development of public parks","WS/MP18037/2024-2025/176209","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","31-Dec-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","346016"
"62929","Bihar","Installing hand pumps","WS/MP18037/2025-2026/219620","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","29-Jan-2026","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","74191"
"62930","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209964","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","27-May-2026","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","71471"
"62931","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209591","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Nov-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","74945"
"62932","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209592","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Nov-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","74945"
"62933","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209599","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Nov-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","74945"
"62934","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209615","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Nov-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","74945"
"62935","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209616","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Nov-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","71358"
"62936","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209619","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","12-Dec-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","71358"
"62937","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209620","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Nov-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","71358"
"62938","Bihar","Installing hand pumps","WS/MP18037/2025-2026/240494","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","22-Apr-2026","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","74606"
"62939","Bihar","Installing hand pumps","WS/MP18037/2026-2027/276796","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","03-Jul-2026","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","73466"
"62940","Bihar","Providing drains and gutters for public drainage","WS/MP18037/2025-2026/217238","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Jan-2026","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","546848"
"62941","Bihar","Development of public parks","WS/MP18037/2025-2026/158912","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","15-Oct-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","772205"
"62942","Bihar","Development of public parks","WS/MP18037/2025-2026/158912","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","676916"
"62943","Bihar","Construction of buildings for community cultural activities","WS/MP18037/2024-2025/158916","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Nov-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","494266"
"62944","Bihar","Construction of buildings for community cultural activities","WS/MP18037/2024-2025/158931","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","15-Oct-2025","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","336032"
"62945","Bihar","Construction of buildings for community cultural activities","WS/MP18037/2024-2025/158931","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","252019"
"62946","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2025-2026/191576","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Jan-2026","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","598750"
"62947","Bihar","Installing hand pumps","WS/MP18037/2025-2026/230335","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","22-Apr-2026","BIDHANSABHA KSHETRA GOH SAHAYAK ABHIYANTA","Payment Success","74606"
"62948","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217840","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","19-Aug-2026","BDO Dehra Lok Sabha","Payment Success","50000"
"62949","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217841","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","20-Aug-2026","BDO Dehra Lok Sabha","Payment Success","62500"
"62950","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217842","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","19-Aug-2026","BDO Dehra Lok Sabha","Payment Success","75000"
"62951","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217844","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","19-Aug-2026","BDO Dehra Lok Sabha","Payment Success","100000"
"62952","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217847","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","13-Nov-2025","BDO Dehra Lok Sabha","Payment Success","50000"
"62953","Himachal Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP432/2025-2026/217848","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","19-Aug-2026","BDO Dehra Lok Sabha","Payment Success","100000"
"62954","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217849","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","19-Aug-2026","BDO Dehra Lok Sabha","Payment Success","75000"
"62955","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217850","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","23-Feb-2026","BDO Dehra Lok Sabha","Payment Success","62500"
"62956","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217851","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","20-Aug-2026","BDO Dehra Lok Sabha","Payment Success","62500"
"62957","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217854","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","20-Aug-2026","BDO Dehra Lok Sabha","Payment Success","75000"
"62958","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217855","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","20-Aug-2026","BDO Dehra Lok Sabha","Payment Success","50000"
"62959","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217856","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","13-Nov-2025","BDO Dehra Lok Sabha","Payment Success","75000"
"62960","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2026-2027/265804","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","19-Aug-2026","BDO Dehra Lok Sabha","Payment Success","100000"
"62961","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2026-2027/269424","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","19-Aug-2026","BDO Dehra Lok Sabha","Payment Success","100000"
"62962","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2026-2027/269425","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","20-Aug-2026","BDO Dehra Lok Sabha","Payment Success","50000"
"62963","Himachal Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP432/2024-2025/174088","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","13-Nov-2025","BDO Dehra Lok Sabha","Payment Success","62500"
"62964","Himachal Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP432/2024-2025/174088","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","25-Aug-2026","BDO Dehra Lok Sabha","Payment Success","62500"
"62965","Himachal Pradesh","Construction of culverts and bridges","WS/MP432/2025-2026/217835","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","19-Aug-2026","BDO Dehra Lok Sabha","Payment Success","100000"
"62966","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217836","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","23-Feb-2026","BDO Dehra Lok Sabha","Payment Success","50000"
"62967","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP432/2025-2026/217838","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","17-Mar-2026","BDO Dehra Lok Sabha","Payment Success","37500"
"62968","Himachal Pradesh","Construction of community centers and community halls","WS/MP432/2025-2026/217839","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","23-Feb-2026","BDO DEHRA MP RAJYA SABHA","Payment Success","75000"
"62969","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18031/2025-2026/228968","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","06-Nov-2025","SAHAYAK ABHIYANTA AURANGABAD BIDHANSABHA KSHETRA","Payment Success","989474"
"62970","Bihar","Renovation of ponds and lakes","WS/MP18031/2025-2026/194037","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","20-Aug-2026","SAHAYAK ABHIYANTA AURANGABAD BIDHANSABHA KSHETRA","Payment Success","494054"
"62971","Bihar","Construction of New Building","WS/MP18031/2025-2026/194016","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","ABHAY KUMAR SINHA","AURANGABAD_BR","23-May-2026","SAHAYAK ABHIYANTA AURANGABAD BIDHANSABHA KSHETRA","Payment Success","594555"
"62972","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2025-2026/196289","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","232208"
"62973","Bihar","Construction of community centers and community halls","WS/MP18037/2025-2026/192463","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","17-Feb-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","706471"
"62974","Bihar","Development of public parks","WS/MP18037/2025-2026/192802","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","24-Jul-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","491528"
"62975","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209958","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","15-Oct-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74054"
"62976","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209960","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","17-Mar-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74290"
"62977","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209961","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","15-Oct-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74054"
"62978","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209962","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","15-Oct-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74054"
"62979","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209562","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","12-Dec-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74376"
"62980","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209339","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","07-Nov-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74509"
"62981","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209340","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","24-Dec-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74509"
"62982","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209341","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","22-Jun-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74509"
"62983","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209493","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","02-Apr-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74510"
"62984","Bihar","Installing hand pumps","WS/MP18037/2025-2026/209289","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74510"
"62985","Bihar","Installing hand pumps","WS/MP18037/2025-2026/210195","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","22-Jun-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74777"
"62986","Bihar","Installing hand pumps","WS/MP18037/2025-2026/210193","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","15-Oct-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","73828"
"62987","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2024-2025/158822","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","17-Jun-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","444972"
"62988","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP18037/2025-2026/158811","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","02-Apr-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","525176"
"62989","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2025-2026/158826","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","22-Jan-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","495242"
"62990","Bihar","Providing drains and gutters for public drainage","WS/MP18037/2025-2026/158905","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","24-Jul-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","293518"
"62991","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2025-2026/158909","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","26-Aug-2025","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","790483"
"62992","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2025-2026/256945","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","17-Mar-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","98173"
"62993","Bihar","Installing hand pumps","WS/MP18037/2026-2027/273063","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","22-Jul-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74082"
"62994","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2026-2027/272248","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","30-Jul-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","177750"
"62995","Bihar","Providing drains and gutters for public drainage","WS/MP18037/2025-2026/250986","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","11-Jul-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","535512"
"62996","Bihar","Installing hand pumps","WS/MP18037/2025-2026/227253","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","24-Mar-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74510"
"62997","Bihar","Installing hand pumps","WS/MP18037/2025-2026/227254","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","06-Apr-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","74510"
"62998","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18037/2025-2026/227215","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","RAJA RAM SINGH","KARAKAT","27-May-2026","BIDHANSABHA KSHETRA OBRA SAHAYAK ABHIYANTA","Payment Success","393078"
"62999","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/160187","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","05-Dec-2025","MPLADS HOLDING ACCOUNT","Payment Success","4939"
"63000","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/160188","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","05-Dec-2025","MPLADS HOLDING ACCOUNT","Payment Success","4956"
"63001","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238337","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","19-Feb-2026","MPLADS HOLDING ACCOUNT","Payment Success","14904"
"63002","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238339","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","19-Feb-2026","MPLADS HOLDING ACCOUNT","Payment Success","14997"
"63003","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18326/2025-2026/160191","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","11-Nov-2025","MPLADS HOLDING ACCOUNT","Payment Success","4915"
